ESTADO,Gov.Est. (2003-2006),Ideologia - D/C/E,Conservador/Progressista,Gov.Est. (2007-2010),Ideologia - D/C/E,Conservador/Progressista,Gov.Est. (2011-2014),Ideologia - D/C/E,Conservador/Progressista,Esquerda-direita,Liberal-conservador
ACRE,PT,esquerda,liberal,PT,esquerda,liberal,PT,esquerda,liberal,-3,-3
ALAGOAS,PSB,não tem,,PSDB,direita,liberal,PSDB,direita,liberal,2,-2
AMAPA,PDT,esquerda,liberal,PDT,esquerda,liberal,PSB,não tem,,-2,-2
AMAZONAS,PPS,não tem,,PMDB,centro,conservador,PMN,não tem,,0,1
BAHIA,PFL,direita,liberal,PT,esquerda,liberal,PT,esquerda,liberal,-1,-3
CEARA,PSDB,direita,liberal,PSB,não tem,,PSB,não tem,,1,-1
DISTRITO FEDERAL,PMDB,centro,conservador,PFL,direita,liberal,PT,esquerda,liberal,0,-1
ESPIRITO SANTO,PSB,não tem,,PMDB,centro,conservador,PSB,não tem,,0,1
GOIAS,PSDB,direita,liberal,PP,esquerda,liberal,PSDB,direita,liberal,1,-3
MARANHAO,PFL,direita,liberal,PDT,esquerda,liberal,PMDB,centro,conservador,0,-1
MATO GROSSO,PPS,não tem,,PPS,não tem,,PMDB,centro,conservador,0,1
MATO GROSSO DO SUL,PT,esquerda,liberal,PMDB,centro,conservador,PMDB,centro,conservador,-1,1
MINAS GERAIS,PSDB,direita,liberal,PSDB,direita,liberal,PSDB,direita,liberal,3,-3
PARA,PSDB,direita,liberal,PT,esquerda,liberal,PSDB,direita,liberal,1,-3
PARAIBA,PSDB,direita,liberal,PSDB,direita,liberal,PSB,não tem,,2,-2
PARANA,PMDB,centro,conservador,PMDB,centro,conservador,PSDB,direita,liberal,1,1
PERNAMBUCO,PMDB,centro,conservador,PSB,não tem,,PSB,não tem,,0,1
PIAUI,PT,esquerda,liberal,PT,esquerda,liberal,PSB,não tem,,-2,-2
RIO DE JANEIRO,PSB,não tem,,PMDB,centro,conservador,PMDB,centro,conservador,0,2
RIO GRANDE DO NORTE,PSB,não tem,,PSB,não tem,,DEM,direita,liberal,1,-1
RIO GRANDE DO SUL,PMDB,centro,conservador,PSDB,direita,liberal,PT,esquerda,liberal,0,-1
RONDONIA,PSDB,direita,liberal,PPS,não tem,,PMDB,centro,conservador,1,0
RORAIMA,PSL,não tem,,PSDB,direita,liberal,PSDB,direita,liberal,2,-2
SANTA CATARINA,PMDB,centro,conservador,PMDB,centro,conservador,DEM,direita,liberal,1,1
SAO PAULO,PSDB,direita,liberal,PSDB,direita,liberal,PSDB,direita,liberal,3,-3
SERGIPE,PFL,direita,liberal,PT,esquerda,liberal,PT,esquerda,liberal,-1,-3
TOCANTINS,PFL,direita,liberal,PMDB,centro,conservador,PSDB,direita,liberal,2,-1
