ESTADO;IDH;GINI;PIB;PARTIDO;IDEOLOGIA;PRESOS;POP;TAXA
ACRE;0,663;0,452;9629;PT;1;3488;790101;441
ALAGOAS;0,631;0,456;29545;PSDB;0;5423;3321730;163
AMAPA;0,708;0,455;10420;PSB;0;2654;750912;353
AMAZONAS;0,674;0,478;64120;PMN;0;7378;3873743;190
BAHIA;0,66;0,559;167727;PT;1;11836;15126371;78
CEARA;0,682;0,487;90132;PSB;0;20416;8842791;231
DISTRITO FEDERAL;0,824;0,57;171236;PT;1;13269;2852372;465
ESPIRITO SANTO;0,74;0,453;107329;PSB;0;16234;3885049;418
GOIAS;0,735;0,458;123926;PSDB;0;13244;6523222;203
MARANHAO;0,639;0,545;58820;PMDB;0;4530;6850884;66
MATO GROSSO;0,725;0,466;80830;PMDB;0;10357;3224357;321
MATO GROSSO DO SUL;0,729;0,491;54471;PMDB;0;14203;2619657;542
MINAS GERAIS;0,731;0,474;403551;PSDB;0;56236;20734097;271
PARA;0,646;0,472;91009;PSDB;0;12604;8073924;156
PARAIBA;0,658;0,514;38731;PSB;0;9596;3943885;243
PARANA;0,749;0,461;255927;PSDB;0;19511;11081692;176
PERNAMBUCO;0,673;0,463;117340;PSB;0;31510;9277727;340
PIAUI;0,646;0,566;25721;PSB;0;3224;3194718;101
RIO DE JANEIRO;0,761;0,489;504221;PMDB;0;39321;16461173;239
RIO GRANDE DO NORTE;0,684;0,521;39544;;;7047;3408510;207
RIO GRANDE DO SUL;0,746;0,465;277658;PT;1;28059;11207274;250
RONDONIA;0,69;0,442;29362;PMDB;0;7631;1748531;436
RORAIMA;0,707;0,49;7314;PSDB;0;1605;496936;323
SANTA CATARINA;0,774;0,436;177276;DEM;0;17914;6727148;266
SAO PAULO;0,783;0,474;1408904;PSDB;0;214843;44035304;488
SERGIPE;0,665;0,562;27823;PT;1;4057;2219574;183
TOCANTINS;0,699;0,5;19530;PSDB;0;3233;1496880;216
